accession,description,project,species,taxid,tissue,BTO,mods,spectra,proteins,peptides,MS2,MS1,enzyme
1,COFRADIC methionine proteome of unstimulated human blood platelets,COFRADIC proteome of unstimulated human blood platelets,Homo sapiens (Human),9606, N/A, N/A, N/A,1281,376,1281,1281,NA,Trypsin
2,COFRADIC cysteine proteome of unstimulated human blood platelets,COFRADIC proteome of unstimulated human blood platelets,Homo sapiens (Human),9606, N/A, N/A, N/A,542,157,542,542,NA,Trypsin
3,COFRADIC N-terminal proteome of unstimulated human blood platelets,COFRADIC proteome of unstimulated human blood platelets,Homo sapiens (Human),9606, N/A, N/A, N/A,1958,345,1958,1958,NA,Trypsin
4,HUPO Plasma Proteome Project, Lab # 1 Expt # 36,HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,153,665,NA,NA,Trypsin
5,HUPO Plasma Proteome Project, Lab # 1 Expt # 37,HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,119,439,NA,NA,Trypsin
6,HUPO Plasma Proteome Project, Lab # 1 Expt # 38,HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,147,563,NA,NA,Trypsin
7,HUPO Plasma Proteome Project, Lab # 1 Expt # 39,HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,62,197,NA,NA,Trypsin
8,HUPO Plasma Proteome Project, Lab # 1 Expt # 40,HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,169,789,NA,NA,Trypsin
9,HUPO Plasma Proteome Project, Lab # 1 Expt # 41,HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,157,679,NA,NA,Trypsin
10,HUPO Plasma Proteome Project, Lab # 1 Expt # 42,HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,146,615,NA,NA,Trypsin
11,HUPO Plasma Proteome Project, Lab # 1 Expt # 43,HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood serum,BTO:0000133, N/A,0,47,162,NA,NA,Trypsin
12,HUPO Plasma Proteome Project, Lab # 2 Expt # 16,HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,553,2178,NA,NA,Trypsin
13,HUPO Plasma Proteome Project, Lab # 2 Expt # 17,HUPO Plasma Proteome Project,Homo sapiens (Human),9606,blood plasma,BTO:0000131, N/A,0,483,2192,NA,NA,Trypsin
